province,fiscal_year,count,population,crude_rate,was_suppressed
AB,2017,20030.0,3737603.0,535.904963689295,False
AB,2018,21023.0,3753144.0,560.1437088478353,False
AB,2019,22210.0,3819844.0,581.4373571276733,False
AB,2020,49887.0,7749856.0,643.715186449916,False
AB,2021,50585.0,7809430.0,647.7425369073031,False
AB,2022,46706.0,8002274.0,583.6590949022741,False
AB,2023,50674.0,8288746.0,611.3590644471432,False
BC,2017,30248.0,4354048.0,694.7098424270931,False
BC,2018,30589.0,4521701.0,676.4932046590432,False
BC,2019,31160.0,4602415.0,677.0358605210525,False
BC,2020,67536.0,9355218.0,721.9072821178512,False
BC,2021,71901.0,9489094.0,757.7224970055097,False
BC,2022,67879.0,9691286.0,700.4127212838421,False
BC,2023,72327.0,10081908.0,717.3939694748257,False
CAN,2017,156108.0,32751900.0,476.63799657424454,False
CAN,2018,166333.0,33076949.0,502.8668151950774,False
CAN,2019,170442.0,33606735.0,507.16619748987813,False
CAN,2020,183812.0,34038691.0,540.0090150352727,False
CAN,2021,188594.0,34319300.0,549.5275253283138,False
CAN,2022,180741.0,34986231.0,516.6060899786547,False
CAN,2023,190078.0,36093419.0,526.6278597768751,False
MB,2017,4662.0,1168078.0,399.1171822429667,False
MB,2018,5044.0,1178922.0,427.8484920970174,False
MB,2019,4948.0,1194808.0,414.12511466277425,False
MB,2020,11859.0,2409072.0,492.26424116838353,False
MB,2021,12253.0,2423358.0,505.6207130766482,False
MB,2022,10905.0,2473980.0,440.7877185749278,False
MB,2023,10889.0,2560480.0,425.27182403299383,False
NB,2017,2671.0,687051.0,388.76298848266,False
NB,2018,2661.0,698070.0,381.19386307963384,False
NB,2019,2714.0,704263.0,385.36739825888907,False
NB,2020,5914.0,1419390.0,416.6578600666483,False
NB,2021,5707.0,1436222.0,397.36196771808255,False
NB,2022,5187.0,1479720.0,350.5392912172573,False
NB,2023,5535.0,1519634.0,364.2324401796748,False
NL,2017,1780.0,480187.0,370.68891910859725,False
NL,2018,1740.0,478230.0,363.8416661439056,False
NL,2019,1741.0,476272.0,365.54741828199013,False
NL,2020,2583.0,665742.0,387.9881395495552,False
NL,2021,2615.0,664771.0,393.3685434533094,False
NL,2022,2503.0,670935.0,373.0614739132703,False
NL,2023,3509.0,991416.0,353.93820555649694,False
NS,2017,3919.0,865646.0,452.7254790064299,False
NS,2018,3739.0,870656.0,429.4463025580711,False
NS,2019,3926.0,881905.0,445.172665990101,False
NS,2020,7767.0,1781462.0,435.99021477864807,False
NS,2021,8284.0,1807942.0,458.2005396190807,False
NS,2022,7215.0,1861300.0,387.6323000053726,False
NS,2023,7552.0,1932214.0,390.8469765771286,False
NT,2017,762.0,37875.0,2011.881188118812,False
NT,2018,747.0,38325.0,1949.1193737769079,False
NT,2019,812.0,38714.0,2097.4324533760396,False
NT,2020,1028.0,39117.0,2628.013395710305,False
NT,2021,789.0,39579.0,1993.4813916470857,False
NT,2022,735.0,39819.0,1845.8524824832366,False
NT,2023,658.0,39233.0,1677.15953406571,False
NU,2017,277.0,29631.0,934.8317640309135,False
NU,2018,359.0,29878.0,1201.5529821273178,False
NU,2019,0.0,0.0,,False
NU,2020,0.0,0.0,,False
NU,2021,549.0,31131.0,1763.5154668979474,False
NU,2022,483.0,32205.0,1499.7671169073126,False
NU,2023,458.0,32126.0,1425.6365560605118,False
ON,2017,50863.0,12716506.0,399.97621988304024,False
ON,2018,53359.0,12836055.0,415.69625558631526,False
ON,2019,53409.0,13074239.0,408.5056116841676,False
ON,2020,65180.0,13979463.0,466.2553919274295,False
ON,2021,65509.0,14082992.0,465.16393675434875,False
ON,2022,63068.0,14367393.0,438.9662063256709,False
ON,2023,117351.0,28198934.0,416.1540290849293,False
PE,2017,759.0,136011.0,558.0430994551912,False
PE,2018,858.0,137567.0,623.6960899052825,False
PE,2019,804.0,141186.0,569.4615613446092,False
PE,2020,784.0,144178.0,543.7722814853861,False
PE,2021,839.0,148991.0,563.121262358129,False
PE,2022,816.0,154983.0,526.509359090997,False
PE,2023,879.0,158011.0,556.2903848466246,False
QC,2017,38489.0,7494908.0,513.5353229152379,False
QC,2018,39466.0,7491692.0,526.7968838014162,False
QC,2019,39756.0,7587879.0,523.9408799217805,False
QC,2020,80605.0,15356862.0,524.8793666310213,False
QC,2021,82453.0,15440868.0,533.9920009678212,False
QC,2022,80917.0,15627196.0,517.7960268751988,False
SK,2017,5773.0,1010266.0,571.4336620256447,False
SK,2018,5966.0,1006870.0,592.5293235472305,False
SK,2019,6056.0,1018870.0,594.3839744030151,False
SK,2020,7187.0,1024785.0,701.31783740004,False
SK,2021,7261.0,1028455.0,706.0104720187077,False
SK,2022,13126.0,2086556.0,629.0748966239104,False
SK,2023,13882.0,2117718.0,655.516929071765,False
YT,2017,364.0,34090.0,1067.7618069815196,False
YT,2018,374.0,35839.0,1043.555902787466,False
YT,2019,499.0,36097.0,1382.386347895947,False
YT,2020,541.0,37131.0,1457.0035819126877,False
YT,2021,479.0,38189.0,1254.287883945639,False
YT,2022,503.0,39019.0,1289.1155590865988,False
YT,2023,480.0,40322.0,1190.4171420068449,False
