province,year,profession,age 30–59 years (%),age 60+ years (%),age <30 years (%),count,female (%),per_100k
AB,2019,Audiologists,80.1,8.6,11.3,186,78.5,4.3
AB,2019,Chiropractors,80,10.9,9.2,1178,31.7,27
AB,2019,Combined laboratory and X-ray technologists,,,,583,94.8542024,13.38575283
AB,2019,Dental assistants,67.3,3.8,28.8,6043,98.8,138.7
AB,2019,Dental hygienists,73.4,5.2,21.4,3279,95.9,75.3
AB,2019,Dentists,77.2,15.6,7.2,2679,33.6,61.5
AB,2019,Denturists,,,,314,,7.2
AB,2019,Dietitians,75.4,6.2,18.4,1343,96.7,30.8
AB,2019,Environmental public health professionals,,,,383,,8.8
AB,2019,Family medicine,71.9,21.4,6.7,5599,43.6,128.6
AB,2019,Genetic counsellors,,,,27,96.3,0.6
AB,2019,Health information management professionals,73.7,17.9,8.4,,93.4,17.8
AB,2019,Licensed practical nurses,70.3,6.4,23.3,15513,91.8,356.2
AB,2019,Medical laboratory technologists,,,,2578,,59.2
AB,2019,Medical physicists,,,,46,28.3,1.1
AB,2019,Medical radiation technologists,71.8,7.8,20.4,2409,82,55.3
AB,2019,Midwives,87.7,5.8,6.5,138,100,3.2
AB,2019,Nurse practitioners,89.1,9.5,1.4,571,90.5,13.1
AB,2019,Occupational therapists,80.8,4.4,14.8,2260,89.7,51.9
AB,2019,Opticians,,,,311,76,7.1
AB,2019,Optometrists,83.9,7.5,8.6,829,51.5,19
AB,2019,Paramedics,,,,8904,37.5,204.4
AB,2019,Pharmacists,78.9,7.2,13.9,5562,60.5,127.7
AB,2019,Pharmacy technicians,,,,1612,,37
AB,2019,Physician assistants,,,,45,,1
AB,2019,Physicians,75.1,21.4,3.5,11205,39.3,257.3
AB,2019,Physiotherapists,80.2,7.9,12,3086,71.3,70.9
AB,2019,Psychologists,,,,3928,79.1,90.2
AB,2019,Registered nurses,72,12.3,15.7,35907,93,824.4
AB,2019,Registered psychiatric nurses,68,15.5,16.5,1349,79.2,31
AB,2019,Regulated nurses,71.6,10.6,17.8,53340,92.3,1224.7
AB,2019,Respiratory therapists,73.1,6.7,20.3,1895,74.2,43.5
AB,2019,Social workers,74.6,12.7,12.7,7618,81.4,174.9
AB,2019,Specialists,78.4,21.4,0.2,5606,35.1,128.7
AB,2019,Speech–language pathologists,78.8,6.5,14.7,1505,96.5,34.6
AB,2020,Audiologists,80.7,9.1,10.2,197,79.7,4.5
AB,2020,Chiropractors,79.4,10.6,10,1159,31,26.3
AB,2020,Combined laboratory and X-ray technologists,,,,587,94.54855196,13.31822271
AB,2020,Dental assistants,70.1,4.4,25.5,6418,98.7,145.6
AB,2020,Dental hygienists,74.1,4.9,21,3330,95.3,75.6
AB,2020,Denturists,,,,310,,7
AB,2020,Dietitians,76.1,6.1,17.9,1353,96.9,30.7
AB,2020,Environmental public health professionals,,,,362,,8.2
AB,2020,Family medicine,73.4,20.1,6.5,5496,45,124.7
AB,2020,Genetic counsellors,,,,32,96.9,0.7
AB,2020,Health information management professionals,,,,749,,17
AB,2020,Licensed practical nurses,71.9,6.4,21.6,15902,92,360.8
AB,2020,Medical laboratory technologists,,,,2479,,56.2
AB,2020,Medical physicists,77.5,12.5,10,48,34.8,1.1
AB,2020,Medical radiation technologists,74.4,8.8,16.7,2397,82.1,54.4
AB,2020,Midwives,85,6.8,8.2,147,100,3.3
AB,2020,Nurse practitioners,89,10,1,602,90.5,13.7
AB,2020,Occupational therapists,82.4,4.5,13.1,2294,89.7,52
AB,2020,Optometrists,80.5,8.4,11.1,844,52.3,19.1
AB,2020,Paramedics,67.7,3.2,29.1,8886,37.7,201.6
AB,2020,Personal support workers,75.4,10.2,14.4,,89.7,
AB,2020,Pharmacists,82,7.5,10.5,5575,60.7,126.5
AB,2020,Pharmacy technicians,,,,1703,,38.6
AB,2020,Physician assistants,,,,44,,1
AB,2020,Physicians,76.5,20.1,3.4,11197,40.5,254
AB,2020,Physiotherapists,80.5,7.9,11.6,3199,70.8,72.6
AB,2020,Psychologists,,,,4143,79.8,94
AB,2020,Registered nurses,72.8,12.1,15.1,36394,92.8,825.7
AB,2020,Registered psychiatric nurses,68.7,14.3,17,1368,79.6,31
