HUID,service_type,n_sites,pop2021,sites_per_100k
2226,Hospital,6,111694,5.371819435
2227,Hospital,2,144771,1.38149215
2230,Hospital,8,696992,1.147789358
2233,Hospital,11,175049,6.283954778
2234,Hospital,3,116872,2.566910808
2235,Hospital,5,189183,2.642943605
2236,Hospital,4,604868,0.661301309
2237,Hospital,8,569353,1.405103688
2238,Hospital,4,171450,2.333041703
2240,Hospital,2,103971,1.923613315
2241,Hospital,5,206962,2.415902436
2242,Hospital,2,128154,1.560622376
2243,Hospital,7,179830,3.8925652
2244,Hospital,6,500563,1.19865032
2246,Hospital,7,477941,1.464615925
2247,Hospital,4,129362,3.092098143
2249,Hospital,8,76328,10.48108165
2251,Hospital,11,1017449,1.081135271
2253,Hospital,4,1442791,0.277240432
2255,Hospital,1,147681,0.677135176
2256,Hospital,12,81554,14.71417711
2257,Hospital,5,107522,4.65021112
2258,Hospital,5,210276,2.377827237
2260,Hospital,9,599843,1.500392603
2261,Hospital,9,203546,4.421604944
2262,Hospital,7,153348,4.56478076
2263,Hospital,3,32530,9.222256379
2265,Hospital,4,587165,0.681239515
2266,Hospital,7,306535,2.28358915
2268,Hospital,5,423205,1.181460521
2270,Hospital,5,1173334,0.426136122
3895,Hospital,39,2794356,1.395670416
4913,Hospital,5,216533,2.309116855
5183,Hospital,8,142931,5.597106296
